Year,Rank,Song Title,Artist,Album
1/4/14,25,Applause,Lady Gaga,Artpop
1/11/14,23,Do What U Want,Lady Gaga,Msq Performs Lady Gaga
1/11/14,26,Applause,Lady Gaga,Artpop
1/18/14,17,Do What U Want,Lady Gaga,Msq Performs Lady Gaga
1/18/14,26,Applause,Lady Gaga,Artpop
1/25/14,19,Do What U Want,Lady Gaga,Msq Performs Lady Gaga
1/25/14,37,Applause,Lady Gaga,Artpop
2/1/14,19,Do What U Want,Lady Gaga,Msq Performs Lady Gaga
2/1/14,48,Applause,Lady Gaga,Artpop
2/8/14,25,Do What U Want,Lady Gaga,Msq Performs Lady Gaga
2/15/14,36,Do What U Want,Lady Gaga,Msq Performs Lady Gaga
2/22/14,50,Do What U Want,Lady Gaga,Msq Performs Lady Gaga
3/1/14,68,Do What U Want,Lady Gaga,Msq Performs Lady Gaga
3/8/14,86,Do What U Want,Lady Gaga,Msq Performs Lady Gaga
3/15/14,95,Do What U Want,Lady Gaga,Msq Performs Lady Gaga
4/12/14,76,G.U.Y.,Lady Gaga,Artpop
3/19/16,95,Til It Happens To You,Lady Gaga,The Right Songs
10/1/16,15,Perfect Illusion,Lady Gaga,Joanne
10/8/16,42,Perfect Illusion,Lady Gaga,Joanne
10/15/16,59,Perfect Illusion,Lady Gaga,Joanne
10/22/16,69,Perfect Illusion,Lady Gaga,Joanne
10/29/16,76,Million Reasons,Lady Gaga,Joanne
10/29/16,95,Perfect Illusion,Lady Gaga,Joanne
11/12/16,57,Million Reasons,Lady Gaga,Joanne
11/12/16,66,A-YO,Lady Gaga,Born This Way
11/12/16,78,Perfect Illusion,Lady Gaga,Joanne
11/19/16,57,Million Reasons,Lady Gaga,Joanne
11/26/16,96,Million Reasons,Lady Gaga,Joanne
12/24/16,52,Million Reasons,Lady Gaga,Joanne
12/31/16,62,Million Reasons,Lady Gaga,Joanne
1/7/17,70,Million Reasons,Lady Gaga,Joanne
1/14/17,83,Million Reasons,Lady Gaga,Joanne
1/21/17,86,Million Reasons,Lady Gaga,Joanne
1/28/17,96,Million Reasons,Lady Gaga,Joanne
2/11/17,97,Million Reasons,Lady Gaga,Joanne
2/25/17,4,Million Reasons,Lady Gaga,Joanne
2/25/17,50,Bad Romance,Lady Gaga,The Fame Monster
3/4/17,18,Million Reasons,Lady Gaga,Joanne
3/11/17,30,Million Reasons,Lady Gaga,Joanne
3/18/17,30,Million Reasons,Lady Gaga,Joanne
3/25/17,29,Million Reasons,Lady Gaga,Joanne
4/1/17,38,Million Reasons,Lady Gaga,Joanne
4/8/17,46,Million Reasons,Lady Gaga,Joanne
4/15/17,37,Million Reasons,Lady Gaga,Joanne
4/22/17,41,Million Reasons,Lady Gaga,Joanne
5/6/17,39,The Cure,Lady Gaga,Ah Performs Lady Gaga
5/13/17,62,The Cure,Lady Gaga,Ah Performs Lady Gaga
5/20/17,55,The Cure,Lady Gaga,Ah Performs Lady Gaga
5/27/17,49,The Cure,Lady Gaga,Ah Performs Lady Gaga
6/3/17,53,The Cure,Lady Gaga,Ah Performs Lady Gaga
6/10/17,57,The Cure,Lady Gaga,Ah Performs Lady Gaga
6/17/17,51,The Cure,Lady Gaga,Ah Performs Lady Gaga
6/24/17,46,The Cure,Lady Gaga,Ah Performs Lady Gaga
7/1/17,48,The Cure,Lady Gaga,Ah Performs Lady Gaga
7/8/17,57,The Cure,Lady Gaga,Ah Performs Lady Gaga
7/15/17,46,The Cure,Lady Gaga,Ah Performs Lady Gaga
7/22/17,50,The Cure,Lady Gaga,Ah Performs Lady Gaga
7/29/17,84,The Cure,Lady Gaga,Ah Performs Lady Gaga
8/5/17,87,The Cure,Lady Gaga,Ah Performs Lady Gaga
10/13/18,28,Shallow,Lady Gaga,A Star Is Born Soundtrack
10/20/18,5,Shallow,Lady Gaga,A Star Is Born Soundtrack
10/20/18,36,I'll Never Love Again,Lady Gaga,A Star Is Born Soundtrack
10/20/18,41,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack
10/20/18,63,Is That Alright?,Lady Gaga,A Star Is Born Soundtrack
10/27/18,10,Shallow,Lady Gaga,A Star Is Born Soundtrack
10/27/18,50,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack
10/27/18,54,I'll Never Love Again,Lady Gaga,A Star Is Born Soundtrack
11/3/18,14,Shallow,Lady Gaga,A Star Is Born Soundtrack
11/3/18,57,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack
11/3/18,67,I'll Never Love Again,Lady Gaga,A Star Is Born Soundtrack
11/10/18,21,Shallow,Lady Gaga,A Star Is Born Soundtrack
11/10/18,72,I'll Never Love Again,Lady Gaga,A Star Is Born Soundtrack
11/10/18,74,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack
11/17/18,22,Shallow,Lady Gaga,A Star Is Born Soundtrack
11/17/18,81,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack
11/17/18,85,I'll Never Love Again,Lady Gaga,A Star Is Born Soundtrack
11/24/18,24,Shallow,Lady Gaga,A Star Is Born Soundtrack
11/24/18,85,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack
11/24/18,97,I'll Never Love Again,Lady Gaga,A Star Is Born Soundtrack
12/1/18,23,Shallow,Lady Gaga,A Star Is Born Soundtrack
12/8/18,28,Shallow,Lady Gaga,A Star Is Born Soundtrack
12/15/18,38,Shallow,Lady Gaga,A Star Is Born Soundtrack
12/22/18,39,Shallow,Lady Gaga,A Star Is Born Soundtrack
12/29/18,44,Shallow,Lady Gaga,A Star Is Born Soundtrack
1/5/19,52,Shallow,Lady Gaga,A Star Is Born Soundtrack
1/12/19,29,Shallow,Lady Gaga,A Star Is Born Soundtrack
1/19/19,23,Shallow,Lady Gaga,A Star Is Born Soundtrack
1/26/19,24,Shallow,Lady Gaga,A Star Is Born Soundtrack
2/2/19,24,Shallow,Lady Gaga,A Star Is Born Soundtrack
2/9/19,16,Shallow,Lady Gaga,A Star Is Born Soundtrack
2/16/19,24,Shallow,Lady Gaga,A Star Is Born Soundtrack
2/23/19,18,Shallow,Lady Gaga,A Star Is Born Soundtrack
3/2/19,21,Shallow,Lady Gaga,A Star Is Born Soundtrack
3/9/19,1,Shallow,Lady Gaga,A Star Is Born Soundtrack
3/9/19,47,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack
3/9/19,62,I'll Never Love Again,Lady Gaga,A Star Is Born Soundtrack
3/16/19,6,Shallow,Lady Gaga,A Star Is Born Soundtrack
3/16/19,64,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack
3/23/19,9,Shallow,Lady Gaga,A Star Is Born Soundtrack
3/23/19,100,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack
3/30/19,7,Shallow,Lady Gaga,A Star Is Born Soundtrack
4/6/19,10,Shallow,Lady Gaga,A Star Is Born Soundtrack
4/13/19,11,Shallow,Lady Gaga,A Star Is Born Soundtrack
