Year,Rank,Song Title,Artist(s)
2/11/84,20,Thriller,Michael Jackson
2/11/84,24,Say Say Say,Michael Jackson
2/18/84,7,Thriller,Michael Jackson
2/18/84,41,Say Say Say,Michael Jackson
2/25/84,5,Thriller,Michael Jackson
2/25/84,56,Say Say Say,Michael Jackson
3/3/84,4,Thriller,Michael Jackson
3/3/84,76,Say Say Say,Michael Jackson
3/10/84,4,Thriller,Michael Jackson
3/10/84,99,Say Say Say,Michael Jackson
3/17/84,6,Thriller,Michael Jackson
3/24/84,11,Thriller,Michael Jackson
3/31/84,15,Thriller,Michael Jackson
4/7/84,23,Thriller,Michael Jackson
4/14/84,47,Thriller,Michael Jackson
4/21/84,69,Thriller,Michael Jackson
4/28/84,77,Thriller,Michael Jackson
5/5/84,96,Thriller,Michael Jackson
5/12/84,99,Thriller,Michael Jackson
5/26/84,81,Farewell My Summer Love,Michael Jackson
6/2/84,58,Farewell My Summer Love,Michael Jackson
6/9/84,51,Farewell My Summer Love,Michael Jackson
6/16/84,43,Farewell My Summer Love,Michael Jackson
6/23/84,40,Farewell My Summer Love,Michael Jackson
6/30/84,38,Farewell My Summer Love,Michael Jackson
7/7/84,38,Farewell My Summer Love,Michael Jackson
7/14/84,55,Farewell My Summer Love,Michael Jackson
7/21/84,59,Farewell My Summer Love,Michael Jackson
7/28/84,65,Farewell My Summer Love,Michael Jackson
8/4/84,68,Farewell My Summer Love,Michael Jackson
8/11/84,81,Farewell My Summer Love,Michael Jackson
8/8/87,37,I Just Can't Stop Loving You,Michael Jackson
8/15/87,16,I Just Can't Stop Loving You,Michael Jackson
8/22/87,10,I Just Can't Stop Loving You,Michael Jackson
8/29/87,6,I Just Can't Stop Loving You,Michael Jackson
9/5/87,2,I Just Can't Stop Loving You,Michael Jackson
9/12/87,2,I Just Can't Stop Loving You,Michael Jackson
9/19/87,1,I Just Can't Stop Loving You,Michael Jackson
9/19/87,40,Bad,Michael Jackson
9/26/87,3,I Just Can't Stop Loving You,Michael Jackson
9/26/87,29,Bad,Michael Jackson
10/3/87,12,I Just Can't Stop Loving You,Michael Jackson
10/3/87,16,Bad,Michael Jackson
10/10/87,8,Bad,Michael Jackson
10/10/87,23,I Just Can't Stop Loving You,Michael Jackson
10/17/87,4,Bad,Michael Jackson
10/17/87,39,I Just Can't Stop Loving You,Michael Jackson
10/24/87,1,Bad,Michael Jackson
10/24/87,62,I Just Can't Stop Loving You,Michael Jackson
10/31/87,1,Bad,Michael Jackson
10/31/87,77,I Just Can't Stop Loving You,Michael Jackson
11/7/87,5,Bad,Michael Jackson
11/7/87,99,I Just Can't Stop Loving You,Michael Jackson
11/14/87,11,Bad,Michael Jackson
11/21/87,24,Bad,Michael Jackson
11/21/87,44,The Way You Make Me Feel,Michael Jackson
11/28/87,35,The Way You Make Me Feel,Michael Jackson
11/28/87,37,Bad,Michael Jackson
12/5/87,29,The Way You Make Me Feel,Michael Jackson
12/5/87,55,Bad,Michael Jackson
12/12/87,17,The Way You Make Me Feel,Michael Jackson
12/12/87,71,Bad,Michael Jackson
12/19/87,11,The Way You Make Me Feel,Michael Jackson
12/19/87,100,Bad,Michael Jackson
12/26/87,7,The Way You Make Me Feel,Michael Jackson
1/2/88,7,The Way You Make Me Feel,Michael Jackson
1/9/88,5,The Way You Make Me Feel,Michael Jackson
1/16/88,3,The Way You Make Me Feel,Michael Jackson
1/23/88,1,The Way You Make Me Feel,Michael Jackson
1/30/88,4,The Way You Make Me Feel,Michael Jackson
2/6/88,12,The Way You Make Me Feel,Michael Jackson
2/6/88,48,Man In The Mirror,Michael Jackson
2/13/88,24,The Way You Make Me Feel,Michael Jackson
2/13/88,36,Man In The Mirror,Michael Jackson
2/20/88,27,Man In The Mirror,Michael Jackson
2/20/88,37,The Way You Make Me Feel,Michael Jackson
2/27/88,17,Man In The Mirror,Michael Jackson
2/27/88,52,The Way You Make Me Feel,Michael Jackson
3/5/88,9,Man In The Mirror,Michael Jackson
3/5/88,72,The Way You Make Me Feel,Michael Jackson
3/12/88,7,Man In The Mirror,Michael Jackson
3/12/88,88,The Way You Make Me Feel,Michael Jackson
3/19/88,4,Man In The Mirror,Michael Jackson
3/19/88,98,The Way You Make Me Feel,Michael Jackson
3/26/88,1,Man In The Mirror,Michael Jackson
4/2/88,1,Man In The Mirror,Michael Jackson
4/9/88,2,Man In The Mirror,Michael Jackson
4/16/88,4,Man In The Mirror,Michael Jackson
4/23/88,11,Man In The Mirror,Michael Jackson
4/30/88,19,Man In The Mirror,Michael Jackson
5/7/88,31,Man In The Mirror,Michael Jackson
5/7/88,53,Dirty Diana,Michael Jackson
5/7/88,89,Get It,Michael Jackson
5/14/88,40,Dirty Diana,Michael Jackson
5/14/88,52,Man In The Mirror,Michael Jackson
5/14/88,87,Get It,Michael Jackson
5/21/88,29,Dirty Diana,Michael Jackson
5/21/88,71,Man In The Mirror,Michael Jackson
5/21/88,83,Get It,Michael Jackson
5/28/88,17,Dirty Diana,Michael Jackson
5/28/88,80,Get It,Michael Jackson
5/28/88,97,Man In The Mirror,Michael Jackson
6/4/88,12,Dirty Diana,Michael Jackson
6/4/88,94,Get It,Michael Jackson
6/11/88,8,Dirty Diana,Michael Jackson
6/11/88,98,Get It,Michael Jackson
6/18/88,4,Dirty Diana,Michael Jackson
6/25/88,2,Dirty Diana,Michael Jackson
7/2/88,1,Dirty Diana,Michael Jackson
